product_id,company_id,settlement_product_id,currency,amortization_type,interest_calc_method,amortising_frequency,granted_balance,outstanding_balance,total_periods,next_payment_date,last_payment_date,annual_interest_rate_or_spread,interest_type
PRODUCT_06098,COMP_0040,PRODUCT_05845,EUR,constant quote,30/360,monthly,27037026.97,22615225.39,120,2026-03-30 00:00:00,2026-03-24 10:47:19,0.05,fixed
PRODUCT_07314,COMP_1053,PRODUCT_01733,EUR,constant quote,30/360,monthly,10500000,8511310.83,48,2026-07-31 00:00:00,2026-07-13 16:41:21,0.01,variable
PRODUCT_01282,COMP_0745,PRODUCT_04252,EUR,constant quote,30/360,monthly,945000,850586,106,2026-04-08 00:00:00,2026-03-13 14:00:41,0.03,fixed
PRODUCT_06067,COMP_0653,PRODUCT_05439,EUR,constant quote,30/360,quarterly,316000,316000,4,2025-08-03 00:00:00,2025-07-31 10:13:04,0.11,fixed
PRODUCT_03626,COMP_0770,PRODUCT_00996,EUR,constant quote,30/360,monthly,84000,84000,61,2025-07-31 00:00:00,2025-07-11 17:15:48,0.03,fixed
PRODUCT_04696,COMP_0524,PRODUCT_00547,EUR,constant quote,30/360,semiannually,1000000,841275.31,5,2026-12-30 00:00:00,2026-07-08 14:13:59,0.02,variable
PRODUCT_05311,COMP_0087,PRODUCT_06464,EUR,constant quote,Actual/Actual ISDA,monthly,0,54659.81,10,2026-08-01 00:00:00,2026-07-20 10:37:04,0.02,variable
PRODUCT_03991,COMP_0745,PRODUCT_02786,EUR,constant quote,30/360,monthly,400000,314736.88,46,2026-06-30 00:00:00,2026-06-04 14:11:50,0.01,variable
PRODUCT_07220,COMP_0721,PRODUCT_02392,EUR,constant quote,30/360,monthly,900000,863034.21,170,2026-03-12 00:00:00,2026-02-16 17:42:17,0.03,fixed
PRODUCT_01928,COMP_1261,PRODUCT_06721,EUR,constant quote,30/360,monthly,980000,572717.55,96,2026-07-03 00:00:00,2026-06-10 12:34:38,0.01,variable
PRODUCT_06728,COMP_0745,PRODUCT_04252,EUR,constant quote,30/360,monthly,1250000,1210092.83,104,2026-07-15 12:05:58,2026-07-15 12:08:57,0.03,fixed
PRODUCT_04705,COMP_0471,PRODUCT_03534,EUR,constant quote,30/360,monthly,1500000,1500000,84,2025-05-31 00:00:00,2025-05-13 11:45:03,0.01,variable
PRODUCT_00628,COMP_0965,PRODUCT_05632,EUR,constant quote,30/360,monthly,2800173.49,2460163.17,94,2026-06-30 00:00:00,2026-06-17 17:47:50,0.01,variable
PRODUCT_02603,COMP_1243,PRODUCT_00244,EUR,constant quote,30/360,monthly,211842,205364.94,58,2026-05-01 00:00:00,2026-04-28 18:46:03,0.02,variable
PRODUCT_07460,COMP_1068,PRODUCT_01564,EUR,constant quote,30/360,monthly,200,10000,12,2026-02-10 00:00:00,2026-02-10 13:20:20,0.05,variable
PRODUCT_02526,COMP_0770,PRODUCT_08228,EUR,constant quote,30/360,monthly,280000,254247.73,75,2025-04-30 00:00:00,2025-04-24 15:41:13,0.05,fixed
PRODUCT_04117,COMP_0087,PRODUCT_04016,EUR,constant quote,30/360,monthly,5000000,5000000,8,2026-05-17 00:00:00,2026-04-29 12:54:40,0.05,fixed
PRODUCT_07060,COMP_0047,PRODUCT_06604,EUR,constant quote,30/360,monthly,119000,17787.36,7,2025-10-14 00:00:00,2025-09-16 16:08:14,0.01,fixed
PRODUCT_03504,COMP_0524,PRODUCT_01950,EUR,constant quote,30/360,monthly,1000000,79731.41,16,2026-07-09 00:00:00,2026-07-02 13:55:22,0.01,variable
PRODUCT_07615,COMP_0420,PRODUCT_03435,EUR,constant quote,30/360,monthly,750000,526094.54,56,2026-06-01 00:00:00,2026-05-28 18:19:36,0.04,fixed
PRODUCT_06534,COMP_0604,PRODUCT_04240,EUR,constant quote,30/360,monthly,0,20000000,180,2026-08-01 00:00:00,2026-07-27 08:39:25,0.02,variable
PRODUCT_00940,COMP_0058,PRODUCT_01506,EUR,constant quote,30/360,monthly,81094.2,18921.98,14,2026-07-01 00:00:00,2026-06-17 12:00:19,0,fixed
PRODUCT_01517,COMP_0788,PRODUCT_05517,EUR,constant quote,30/360,monthly,300000,287287.98,74,2024-04-30 00:00:00,2024-04-03 11:52:50,0.06,fixed
PRODUCT_02396,COMP_0415,PRODUCT_00931,EUR,constant quote,30/360,semiannually,300000000,300000000,15,2026-10-29 00:00:00,2026-06-30 10:18:44,0.02,variable
PRODUCT_00720,COMP_0058,PRODUCT_02167,EUR,constant quote,30/360,monthly,2000000,1804140.55,75,2026-06-13 00:00:00,2026-06-09 18:52:25,0.01,variable
PRODUCT_00276,COMP_0924,PRODUCT_00013,EUR,constant quote,30/360,monthly,2500000,2312038.95,55,2025-05-29 00:00:00,2025-05-16 08:16:50,0.04,fixed
PRODUCT_05808,COMP_0087,PRODUCT_03093,EUR,constant quote,Actual/Actual ISDA,monthly,10000000,10000000,12,2026-05-31 00:00:00,2026-05-27 10:10:42,0.04,fixed
PRODUCT_04770,COMP_0471,PRODUCT_05190,EUR,constant quote,30/360,monthly,750000,750000,36,2024-10-26 00:00:00,2024-10-09 09:39:23,0.03,fixed
PRODUCT_05857,COMP_1267,PRODUCT_00935,EUR,constant quote,Actual/Actual ISDA,monthly,9960.44,9658.93,58,2026-06-26 00:00:00,2026-06-09 11:27:31,0.04,fixed
PRODUCT_05437,COMP_0047,PRODUCT_07062,EUR,constant quote,30/360,monthly,2000000,2.43,22,2025-10-15 00:00:00,2025-09-17 10:41:17,0.02,variable
PRODUCT_05034,COMP_0745,PRODUCT_04252,EUR,constant quote,30/360,monthly,217000,141901.99,75,2026-03-19 00:00:00,2026-03-13 13:02:42,0.03,fixed
PRODUCT_00646,COMP_0594,PRODUCT_06630,EUR,constant quote,30/360,monthly,1200000,1200000,60,2026-03-12 00:00:00,2026-02-27 10:30:07,0.04,fixed
PRODUCT_06498,COMP_0087,PRODUCT_04016,EUR,constant quote,30/360,monthly,1000000,1000000,3,2026-05-29 00:00:00,2026-05-13 13:35:56,0.03,fixed
PRODUCT_04418,COMP_0258,PRODUCT_02128,EUR,constant quote,30/360,monthly,400000,154935.41,38,2024-06-30 00:00:00,2024-06-25 17:27:45,0.07,fixed
PRODUCT_06452,COMP_0965,PRODUCT_05632,EUR,constant quote,30/360,monthly,3876247.78,2657229.67,33,2026-06-17 17:50:57,2026-06-17 17:52:26,0.01,variable
PRODUCT_03387,COMP_0965,PRODUCT_00662,EUR,constant quote,30/360,monthly,3993322.09,3589731,107,2026-07-01 00:00:00,2026-06-05 13:49:34,0.01,variable
PRODUCT_07143,COMP_0471,PRODUCT_05183,EUR,constant quote,30/360,monthly,1500000,677867.72,28,2024-03-23 00:00:00,2024-02-27 15:13:00,0.01,fixed
PRODUCT_02267,COMP_0047,PRODUCT_00811,EUR,constant quote,30/360,monthly,341058,61010.14,8,2025-09-20 00:00:00,2025-09-16 14:45:51,0.04,fixed
