group_id,erp,n_companies_in_sample
GROUP_0088,Sage X3,5
GROUP_0089,,2
GROUP_0090,Microsoft Business Central,5
GROUP_0091,SAP Business One,1
GROUP_0092,,6
GROUP_0093,,1
GROUP_0094,Netsuite,13
GROUP_0095,,12
GROUP_0096,Netsuite,7
GROUP_0097,Microsoft Business Central,7
GROUP_0098,,1
GROUP_0099,,1
GROUP_0100,,2
GROUP_0101,,18
GROUP_0102,Microsoft Business Central,4
GROUP_0103,,16
GROUP_0104,,10
GROUP_0105,,1
GROUP_0106,Microsoft Dynamics - F&O,3
GROUP_0107,,2
GROUP_0108,Microsoft Business Central,19
GROUP_0109,Netsuite,1
GROUP_0110,Netsuite,1
GROUP_0111,SAP Business One,2
GROUP_0112,Microsoft Business Central,12
GROUP_0113,Desarrollo propio,4
GROUP_0114,,4
GROUP_0115,,12
GROUP_0116,Netsuite,8
GROUP_0117,,6
GROUP_0118,Microsoft Business Central,8
GROUP_0119,,5
GROUP_0120,SAP R3 / S4,1
GROUP_0121,,1
GROUP_0122,,8
GROUP_0123,,1
GROUP_0124,,3
GROUP_0125,Netsuite,3
GROUP_0126,Infor M3 ,11
GROUP_0127,,8
GROUP_0128,Netsuite,4
GROUP_0129,Microsoft Business Central,6
GROUP_0130,,9
GROUP_0131,,9
GROUP_0132,Netsuite,18
GROUP_0133,,2
GROUP_0134,,2
GROUP_0135,,1
GROUP_0136,,2
GROUP_0137,Netsuite,4
GROUP_0138,,18
GROUP_0139,Microsoft Business Central,5
GROUP_0140,,1
GROUP_0141,Microsoft Business Central,8
GROUP_0142,Sage 50,22
GROUP_0143,Microsoft Business Central,10
GROUP_0144,,3
GROUP_0145,,1
GROUP_0146,Sage 200,6
GROUP_0147,,3
GROUP_0148,Microsoft Business Central,3
GROUP_0149,MOVEX,13
GROUP_0150,Sage 200,13
GROUP_0151,Sage X3,1
GROUP_0152,,4
GROUP_0153,Sage 200,6
GROUP_0154,Microsoft Business Central,4
GROUP_0155,Etendo,11
GROUP_0156,,1
GROUP_0157,,1
GROUP_0158,,21
GROUP_0159,,13
GROUP_0160,Microsoft Business Central,3
GROUP_0161,,2
GROUP_0162,SAP Business One,8
GROUP_0163,Microsoft Navision,3
GROUP_0164,,2
GROUP_0165,,4
GROUP_0166,,1
GROUP_0167,,1
GROUP_0168,,2
GROUP_0169,,7
GROUP_0170,,16
GROUP_0171,,1
GROUP_0172,,21
GROUP_0173,,3
GROUP_0174,,3
GROUP_0175,,6
GROUP_0176,,1
GROUP_0177,,2
GROUP_0178,,2
GROUP_0179,,7
GROUP_0180,Microsoft Business Central,1
GROUP_0181,Oracle Cloud,1
GROUP_0182,,5
GROUP_0183,,3
GROUP_0184,,9
GROUP_0185,,11
GROUP_0186,,1
GROUP_0187,,8
GROUP_0188,Netsuite,2
GROUP_0189,Sage X3,4
GROUP_0190,,1
GROUP_0191,,1
GROUP_0192,,4
GROUP_0193,,1
GROUP_0194,Netsuite,7
GROUP_0195,,6
GROUP_0196,,2
GROUP_0197,Microsoft Business Central,2
GROUP_0198,Microsoft Navision,1
GROUP_0199,,11
GROUP_0200,Netsuite,9
GROUP_0201,,1
GROUP_0202,Microsoft Business Central,6
GROUP_0203,,5
GROUP_0204,,1
GROUP_0205,,3
GROUP_0206,,1
GROUP_0207,,1
GROUP_0208,Microsoft Business Central,2
GROUP_0209,,1
GROUP_0210,,2
GROUP_0211,Netsuite,15
GROUP_0212,,11
GROUP_0213,Microsoft Business Central,6
GROUP_0214,Microsoft Navision,3
GROUP_0215,,1
GROUP_0216,,1
GROUP_0217,,22
GROUP_0218,Microsoft Navision,16
GROUP_0219,Netsuite,1
GROUP_0220,Microsoft Navision,6
GROUP_0221,,1
GROUP_0222,,22
GROUP_0223,,1
GROUP_0224,,3
GROUP_0225,,4
GROUP_0226,,4
GROUP_0227,,1
GROUP_0228,,1
GROUP_0229,,1
GROUP_0230,,7
GROUP_0231,Netsuite,2
GROUP_0232,,2
GROUP_0233,Odoo,1
GROUP_0234,,6
GROUP_0235,,1
GROUP_0236,,17
GROUP_0237,,5
GROUP_0238,Sage 200,4
GROUP_0239,,5
GROUP_0240,,1
GROUP_0241,,7
GROUP_0242,Microsoft Dynamics - AX 2012,1
GROUP_0243,,5
GROUP_0244,Microsoft Business Central,2
GROUP_0245,SAP R3 / S4,1
GROUP_0246,,7
GROUP_0247,,1
GROUP_0248,,1
GROUP_0249,Sage 50,1
GROUP_0250,Distrito K,19
