product_id,company_id,label,type,bank_name,service,currency,created_at,granted,outstanding,liquidity
PRODUCT_00081,COMP_1267,LOAN_01,loan,Bankinter Empresas,bankinter_emp,EUR,2026-01-28 09:05:04,-24999.99,0,
PRODUCT_00083,COMP_0087,LOAN_01,loan,Banco Santander Empresas,santander_emp,EUR,2024-10-18 11:05:51,-103697.48,0,
PRODUCT_00093,COMP_0248,LOAN_02,loan,Bankinter Empresas,bankinter_emp,EUR,2025-12-03 12:39:36,-96000,0,
PRODUCT_00095,COMP_0623,LEASING_01,leasing,Caixabank Empresas,caixa_emp,EUR,2025-04-25 09:54:53,-31698.33,-22514.56,
PRODUCT_00101,COMP_1267,CONFIRMING_01,confirming,Banco Santander Empresas,santander_emp,EUR,2025-11-06 08:29:57,-2500000,-281273.07,2218726.93
PRODUCT_00105,COMP_0653,LOAN_03,loan,Other (customer-defined),custom,EUR,2025-08-27 11:41:00,-50000,0,
PRODUCT_00109,COMP_0653,LOAN_04,loan,Other (customer-defined),custom,EUR,2025-08-22 08:16:05,-300000,0,
PRODUCT_00110,COMP_0058,CONFIRMING_01,confirming,Bankinter Empresas,bankinter_emp,EUR,2026-07-28 06:46:19,-900000,-887930.39,12069.61
PRODUCT_00117,COMP_0653,LOAN_05,loan,Other (customer-defined),custom,EUR,2025-08-27 15:34:38,-60000,0,
PRODUCT_00118,COMP_0956,LINEOFCREDIT_01,lineofcredit,BBVA Net Cash Empresas,bbva_emp,EUR,2026-04-29 11:21:29,-45000,308203.63,353203.63
PRODUCT_00124,COMP_0556,LINEOFCREDIT_01,lineofcredit,In-house bank,inhousebanking,EUR,2025-07-31 06:34:38,-1,6,7
PRODUCT_00140,COMP_1038,LEASING_01,leasing,Caixabank Empresas,caixa_emp,EUR,2026-06-17 17:28:40,-1000000,0,
PRODUCT_00142,COMP_0365,LOAN_01,loan,BNP Paribas - Mabanque Corporate,mabanque-corporate,EUR,2026-05-05 07:32:32,-1600000,-1400000,
PRODUCT_00144,COMP_0700,CONFIRMING_01,confirming,Banco Santander Empresas,santander_emp,EUR,2025-08-27 09:37:02,-100000,-22178.19,77821.81
PRODUCT_00147,COMP_0047,GUARANTEE_01,guarantee,Banco Santander Empresas,santander_emp,EUR,2025-09-24 10:14:49,,-100636.88,
PRODUCT_00152,COMP_1171,CONFIRMING_01,confirming,Banco Santander,santander_emp,EUR,2024-07-01 11:58:03,-1010000,0,476689.93
PRODUCT_00154,COMP_0185,CONFIRMING_01,confirming,Banco Santander Empresas,santander_emp,EUR,2026-07-07 11:39:14,-4000000,-2618570.01,1381429.99
PRODUCT_00156,COMP_0235,LEASING_01,leasing,Caisse d Epargne Hauts de France,caisse-d-epargne-hauts-de-france,EUR,2026-01-20 17:01:19,-56159.71,-32677.46,
PRODUCT_00159,COMP_0203,GUARANTEE_01,guarantee,BBVA,bbva_emp,EUR,2023-09-14 10:02:14,-5769.6,-5769.6,223.52
PRODUCT_00172,COMP_0896,LINEOFCREDIT_01,lineofcredit,BBVA Net Cash Empresas,bbva_emp,EUR,2026-07-13 10:34:25,-200000,-33078.9,166921.1
PRODUCT_00191,COMP_0087,LOAN_02,loan,Banco Santander Empresas,santander_emp,EUR,2024-10-25 10:44:08,-318000,0,
PRODUCT_00199,COMP_0653,LOAN_06,loan,Other (customer-defined),custom,EUR,2025-08-22 10:49:25,-100000,0,
PRODUCT_00200,COMP_0630,LOAN_01,loan,Other (customer-defined),custom,EUR,2026-02-19 09:36:37,-125000000,-125000000,
PRODUCT_00201,COMP_0653,LOAN_07,loan,Other (customer-defined),custom,EUR,2025-08-22 08:49:16,-25000,0,
PRODUCT_00202,COMP_0511,LOAN_01,loan,Bankinter Empresas,bankinter_emp,EUR,2024-11-05 08:16:42,-1186500,0,
PRODUCT_00209,COMP_0047,RENTING_01,renting,BBVA Net Cash Empresas,bbva_emp,EUR,2025-09-23 12:55:56,-8780.52,0,
PRODUCT_00217,COMP_0623,LOAN_01,loan,Caixabank Empresas,caixa_emp,EUR,2025-04-25 08:00:37,-1000000,-1000000,
PRODUCT_00221,COMP_1036,GUARANTEE_01,guarantee,Caixabank Empresas,caixa_emp,EUR,2026-07-13 10:40:02,-10000000,-4030194.03,
PRODUCT_00227,COMP_0058,LOAN_01,loan,Abanca Empresas,abanca_emp,EUR,2026-05-19 16:46:03,-160510.72,-115012.7,
PRODUCT_00228,COMP_1036,LEASING_02,leasing,Caixabank Empresas,caixa_emp,EUR,2026-08-26 11:44:50,-540000,-349908.44,
PRODUCT_00237,COMP_0653,LOAN_08,loan,Other (customer-defined),custom,EUR,2025-08-22 10:37:47,-265000,0,
PRODUCT_00243,COMP_0861,LOAN_01,loan,Other (customer-defined),custom,EUR,2025-11-17 15:46:56,-1677500,-1395875.02,
PRODUCT_00246,COMP_1036,LEASING_03,leasing,BBVA Net Cash Empresas,bbva_emp,EUR,2026-08-27 11:22:28,-259500,-136097.41,
PRODUCT_00248,COMP_1001,LINEOFCREDIT_01,lineofcredit,Bankinter Empresas,bankinter_emp,EUR,2025-09-11 11:28:59,-150000,0,150000
PRODUCT_00250,COMP_0447,LINEOFCREDIT_01,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2026-02-17 12:46:33,-250000,0,250000
PRODUCT_00252,COMP_0007,FACTORING_01,factoring,Bankinter Empresas,bankinter_emp,EUR,2026-03-11 07:27:01,-1000000,0,1000000
PRODUCT_00254,COMP_1053,LINEOFCREDIT_01,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2026-07-08 10:45:28,-8374.06,-8374.06,
PRODUCT_00258,COMP_0988,LOAN_01,loan,BBVA Net Cash Empresas,bbva_emp,EUR,2026-03-16 13:27:30,-341592.34,-241090.29,
PRODUCT_00266,COMP_0515,LINEOFCREDIT_01,lineofcredit,BBVA Net Cash Empresas,bbva_emp,EUR,2026-01-13 16:26:53,,-14788.1,
PRODUCT_00268,COMP_0877,LEASING_01,leasing,Banco Santander Empresas,santander_emp,EUR,2025-10-17 13:56:06,-353.92,0,
PRODUCT_00270,COMP_0919,CONFIRMING_01,confirming,BBVA Net Cash Empresas,bbva_emp,USD,2025-11-03 10:46:24,,0,
PRODUCT_00276,COMP_0924,LOAN_01,loan,Deutsche Bank (ES) - Empresas,ins_127317,EUR,2025-05-16 06:14:37,-2312038.95,-1686858.3,
PRODUCT_00279,COMP_1169,LOAN_01,loan,Bankinter Empresas,bankinter_emp,EUR,2026-04-16 11:37:47,-90000,-90000,
PRODUCT_00280,COMP_0007,LOAN_02,loan,Bankinter Empresas,bankinter_emp,EUR,2026-03-20 11:47:26,-500000,-406331.4,
PRODUCT_00290,COMP_0623,LINEOFCREDIT_01,lineofcredit,BBVA Net Cash Empresas,bbva_emp,EUR,2025-04-09 12:55:09,-1000000,-999115.77,884.23
PRODUCT_00291,COMP_0639,LINEOFCREDIT_01,lineofcredit,Bankinter,bankinter_emp,EUR,2022-11-17 14:11:22,0,0,223.52
PRODUCT_00296,COMP_0180,LOAN_01,loan,Banco Santander,santander_emp,EUR,2026-06-02 07:43:15,-436000,0,
PRODUCT_00298,COMP_1219,LINEOFCREDIT_01,lineofcredit,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2024-09-17 12:48:01,,0,
PRODUCT_00299,COMP_0193,LOAN_01,loan,Banco Sabadell Empresas,sabadell_emp,EUR,2025-11-25 11:52:19,-74797.1,0,
PRODUCT_00301,COMP_1279,LOAN_01,loan,Bankinter,bankinter_emp,EUR,2024-03-11 11:53:30,-10778.01,0,223.52
PRODUCT_00309,COMP_0261,LOAN_01,loan,Banco Santander Empresas,santander_emp,EUR,2025-02-20 13:32:39,-54000000,-55567423.29,
PRODUCT_00312,COMP_0471,LINEOFCREDIT_01,lineofcredit,Caixabank,caixa_emp,EUR,2023-09-20 11:32:50,,223.52,223.52
PRODUCT_00316,COMP_1068,MORTGAGE_01,mortgage,Banco Sabadell Empresas,sabadell_emp,EUR,2026-02-19 15:49:35,-10000,-1000,
PRODUCT_00328,COMP_1249,LINEOFCREDIT_01,lineofcredit,BBVA Net Cash Empresas,bbva_emp,EUR,2025-09-02 10:49:39,-200000,-111061.45,88938.55
PRODUCT_00334,COMP_1072,GUARANTEE_01,guarantee,Caixabank Empresas,caixa_emp,EUR,2026-05-27 07:27:24,-250000,-100078.57,150000
PRODUCT_00336,COMP_0406,GUARANTEE_01,guarantee,Banco Santander Empresas,santander_emp,EUR,2026-03-27 10:40:11,,-39729,
PRODUCT_00340,COMP_0802,LOAN_01,loan,Caixabank Empresas,caixa_emp,EUR,2025-10-20 11:16:37,-108628.89,-34102.17,
PRODUCT_00350,COMP_1133,LOAN_02,loan,Banca Monte dei Paschi Business,bmps_business,EUR,2025-01-22 10:29:15,-186440.91,0,
PRODUCT_00357,COMP_0079,LINEOFCREDIT_01,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2026-03-11 12:45:52,-86190,0,86190
PRODUCT_00358,COMP_0304,LINEOFCREDIT_02,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2025-10-06 15:22:31,-21350000,21183330.94,42533330.94
PRODUCT_00367,COMP_0653,LOAN_09,loan,Other (customer-defined),custom,EUR,2025-08-22 08:19:25,-430000,0,
PRODUCT_00368,COMP_0210,LOAN_01,loan,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2025-10-21 10:28:34,-563288.95,-476630.95,
PRODUCT_00369,COMP_0326,FACTORING_01,factoring,Caixabank Empresas,caixa_emp,EUR,2026-08-18 12:47:14,-1300000,0,1300000
PRODUCT_00374,COMP_0576,CONFIRMING_01,confirming,Bankinter Empresas,bankinter_emp,EUR,2026-06-23 11:23:15,-799996,-796964.21,3031.79
PRODUCT_00376,COMP_0235,LEASING_02,leasing,Caisse d Epargne Hauts de France,caisse-d-epargne-hauts-de-france,EUR,2026-01-20 17:52:01,-56159.71,-33616.75,
PRODUCT_00379,COMP_0995,LINEOFCREDIT_01,lineofcredit,iberCaja,ibercaja,EUR,2025-03-07 12:28:42,-300000,218.74,300218.74
PRODUCT_00387,COMP_1036,GUARANTEE_02,guarantee,BBVA Net Cash Empresas,bbva_emp,EUR,2026-07-13 12:47:50,-5000000,-4012058.05,
PRODUCT_00389,COMP_0498,LOAN_01,loan,Caixabank Empresas,caixa_emp,EUR,2026-03-10 09:35:56,-15000000,-15000000,
PRODUCT_00394,COMP_0491,LINEOFCREDIT_01,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2026-02-20 12:58:50,-49000,-122.5,48877.5
PRODUCT_00400,COMP_0220,CONFIRMING_01,confirming,Bankinter Empresas,bankinter_emp,EUR,2025-12-11 08:23:17,-90000,-22398.11,67601.89
PRODUCT_00401,COMP_0697,LOAN_01,loan,Credit Du Nord,credit-du-nord,EUR,2024-04-04 14:29:42,-225000,-105000,223.52
PRODUCT_00408,COMP_0277,LINEOFCREDIT_01,lineofcredit,Deutsche Bank Empresas,deutschebank_emp,EUR,2026-03-04 08:44:02,-300000,3504.02,303504.02
PRODUCT_00412,COMP_0686,CONFIRMING_01,confirming,Banco Santander,santander_emp,EUR,2024-07-01 11:58:04,-1010000,0,476689.93
PRODUCT_00413,COMP_0332,MORTGAGE_01,mortgage,Caixabank Empresas,caixa_emp,EUR,2026-02-19 17:52:18,-8893.04,-8567.21,
PRODUCT_00418,COMP_0169,LINEOFCREDIT_01,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2025-05-13 10:42:28,-100000,0,100000
PRODUCT_00425,COMP_0909,LINEOFCREDIT_01,lineofcredit,BBVA,bbva_emp,EUR,2025-02-27 12:27:37,-1000000,0,1000000
PRODUCT_00430,COMP_0494,LOAN_01,loan,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2024-10-10 10:07:17,-100000,-88355.87,
PRODUCT_00431,COMP_0747,LOAN_01,loan,Bankinter Empresas,bankinter_emp,EUR,2025-05-22 14:29:43,-945688.82,-768018.13,
PRODUCT_00434,COMP_0495,GUARANTEE_01,guarantee,Banco Sabadell Empresas,sabadell_emp,EUR,2025-12-11 08:28:55,-15000,-13792.81,
PRODUCT_00436,COMP_1091,MORTGAGE_01,mortgage,Banco Santander Empresas,santander_emp,EUR,2025-03-17 12:06:38,-2371584,-1315513.42,
PRODUCT_00439,COMP_0929,LINEOFCREDIT_01,lineofcredit,Abanca Empresas,abanca_emp,EUR,2025-10-09 13:33:58,-150000,-9686.34,140313.66
PRODUCT_00441,COMP_0653,LOAN_10,loan,Other (customer-defined),custom,EUR,2025-08-27 10:21:28,-55000,0,
PRODUCT_00445,COMP_0248,LOAN_03,loan,Bankinter Empresas,bankinter_emp,EUR,2026-08-31 15:33:26,-65000,-65000.01,
PRODUCT_00446,COMP_0653,LOAN_11,loan,Other (customer-defined),custom,EUR,2025-08-22 08:03:50,-400000,0,
PRODUCT_00448,COMP_0919,CONFIRMING_02,confirming,Banco Santander Empresas,santander_emp,EUR,2025-11-03 10:37:28,-1250000,0,1250000
PRODUCT_00453,COMP_0320,LINEOFCREDIT_01,lineofcredit,In-house bank,inhousebanking,EUR,2026-07-01 14:52:34,-2050000,-2050000,
PRODUCT_00459,COMP_0220,CONFIRMING_02,confirming,Banco Santander Empresas,santander_emp,EUR,2026-01-27 14:19:22,-3200000,0,3200000
PRODUCT_00460,COMP_0597,LOAN_01,loan,Caixabank Empresas,caixa_emp,EUR,2025-11-06 10:56:40,-487996.04,-203869.77,
PRODUCT_00468,COMP_0297,LEASING_01,leasing,Caixabank Empresas,caixa_emp,EUR,2026-04-22 11:26:16,-48439.97,-36313.28,
PRODUCT_00470,COMP_0653,LOAN_12,loan,Other (customer-defined),custom,EUR,2025-08-27 09:37:33,-100000,0,
PRODUCT_00471,COMP_0444,LOAN_01,loan,Banco Sabadell Empresas,sabadell_emp,EUR,2026-07-02 06:52:59,-1500000,-1468908.63,
PRODUCT_00473,COMP_0297,LEASING_02,leasing,Caixabank Empresas,caixa_emp,EUR,2026-04-22 11:13:57,-38510.82,-28876.61,
PRODUCT_00476,COMP_0447,LINEOFCREDIT_02,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2025-09-15 09:24:19,-60000,0,60000
PRODUCT_00480,COMP_0007,RENTING_01,renting,Other (customer-defined),custom,EUR,2026-03-31 10:57:50,-2102.44,0,
PRODUCT_00481,COMP_0623,LEASING_02,leasing,Caixabank Empresas,caixa_emp,EUR,2025-05-12 14:56:50,-36290.91,-21659.63,
PRODUCT_00482,COMP_0491,LOAN_01,loan,Banco Santander Empresas,santander_emp,EUR,2024-12-20 09:00:42,-140000,0,
PRODUCT_00487,COMP_1282,LOAN_01,loan,Other (customer-defined),custom,EUR,2025-02-12 14:47:44,-662460.23,-490392.23,
PRODUCT_00489,COMP_1208,LINEOFCREDIT_01,lineofcredit,Banco Sabadell Empresas,sabadell_emp,EUR,2026-04-07 14:46:50,-12246.69,-12246.69,
PRODUCT_00490,COMP_0850,LINEOFCREDIT_01,lineofcredit,RuralVia Empresas,ruralvia_emp,EUR,2026-08-04 07:40:29,-100000,905.55,100905.55
PRODUCT_00491,COMP_0653,LOAN_13,loan,Other (customer-defined),custom,EUR,2025-08-27 10:26:54,-100000,0,
PRODUCT_00495,COMP_1066,LOAN_01,loan,BBVA Net Cash Empresas,bbva_emp,EUR,2025-10-02 11:09:05,-116052.48,-89389.71,
PRODUCT_00496,COMP_0635,LOAN_01,loan,Caixabank Empresas,caixa_emp,EUR,2025-09-25 14:11:56,-319392.02,-217166.07,
PRODUCT_00499,COMP_0444,GUARANTEE_01,guarantee,Banco Sabadell Empresas,sabadell_emp,EUR,2026-03-13 12:08:09,-3005.06,-3005.06,
PRODUCT_00504,COMP_0686,LOAN_01,loan,Banco Santander,santander_emp,EUR,2024-07-01 11:58:04,-67072.08,0,
PRODUCT_00515,COMP_0583,RENTING_01,renting,Banco Santander,santander_emp,EUR,2024-02-27 15:30:05,-100,0,223.52
PRODUCT_00526,COMP_1169,LOAN_02,loan,Banco Santander Empresas,santander_emp,EUR,2025-11-06 08:24:38,-330000,-172854.08,
PRODUCT_00527,COMP_1024,LOAN_01,loan,BBVA Net Cash Empresas,bbva_emp,EUR,2025-10-21 09:10:21,-500000,-142918.79,
PRODUCT_00528,COMP_0495,CONFIRMING_01,confirming,Caixabank Empresas,caixa_emp,EUR,2025-12-11 08:58:24,,0,
PRODUCT_00529,COMP_0210,LOAN_02,loan,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2025-10-21 10:22:35,-188936.76,-125956.76,
PRODUCT_00530,COMP_1169,LOAN_03,loan,Banco Santander Empresas,santander_emp,EUR,2026-05-07 06:12:30,-270000,0,
PRODUCT_00531,COMP_0653,LOAN_14,loan,Other (customer-defined),custom,EUR,2025-10-22 13:09:00,-50000,0,
PRODUCT_00537,COMP_0415,GUARANTEE_01,guarantee,Banco Santander Empresas,santander_emp,EUR,2026-06-09 07:53:36,,-247796.08,
PRODUCT_00539,COMP_1169,LOAN_04,loan,Caixabank Empresas,caixa_emp,EUR,2026-04-14 07:26:49,-43961.19,-40618.05,
PRODUCT_00541,COMP_0855,CONFIRMING_01,confirming,Banco Santander Empresas,santander_emp,EUR,2026-08-19 09:54:49,-700000,-696076.59,3923.41
PRODUCT_00548,COMP_0261,LOAN_02,loan,Banco Santander Empresas,santander_emp,EUR,2025-02-20 13:59:15,-2820000,-1695000,
PRODUCT_00568,COMP_0825,LOAN_01,loan,BBVA Net Cash Empresas,bbva_emp,EUR,2023-02-16 14:03:27,-28732.18,223.52,223.52
PRODUCT_00570,COMP_0812,GUARANTEE_01,guarantee,Banca March,bancamarch,EUR,2023-04-15 06:22:58,-90151.82,-90151.82,223.52
PRODUCT_00575,COMP_0956,LINEOFCREDIT_02,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2026-04-29 14:43:31,-84500,-82855.58,1644.42
PRODUCT_00580,COMP_0653,LOAN_15,loan,Other (customer-defined),custom,EUR,2025-08-22 09:13:16,-120000,0,
PRODUCT_00584,COMP_0950,LEASING_01,leasing,Other (customer-defined),custom,EUR,2024-02-05 09:39:15,-11550.99,0,223.52
PRODUCT_00585,COMP_0203,LOAN_01,loan,Caixabank,caixa_emp,EUR,2023-09-14 10:20:02,-426723.47,-26672.86,223.52
PRODUCT_00591,COMP_0004,CONFIRMING_01,confirming,Laboral Kutxa Empresas,cajalaboral_emp,EUR,2026-02-25 15:54:51,,-131735.94,
PRODUCT_00593,COMP_0494,LOAN_02,loan,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2024-10-11 08:06:07,-700000,-576710.08,
PRODUCT_00600,COMP_0471,LINEOFCREDIT_02,lineofcredit,Banco Santander,santander_emp,EUR,2023-09-20 11:22:38,-800000,-608737.15,191262.85
PRODUCT_00605,COMP_0271,LINEOFCREDIT_01,lineofcredit,Abanca Empresas,abanca_emp,EUR,2026-04-15 12:15:38,-800000,-765557.55,34442.45
PRODUCT_00609,COMP_0169,LOAN_01,loan,Caixabank Empresas,caixa_emp,EUR,2025-05-16 12:35:29,-38249.15,-26495.68,
PRODUCT_00610,COMP_0126,LINEOFCREDIT_01,lineofcredit,Bankinter Empresas,bankinter_emp,EUR,2025-01-28 12:56:06,0,769976.88,
PRODUCT_00611,COMP_1036,LEASING_04,leasing,Caixabank Empresas,caixa_emp,EUR,2026-08-26 11:54:49,-540000,-349908.44,
PRODUCT_00615,COMP_0220,LINEOFCREDIT_01,lineofcredit,Banco Sabadell Empresas,sabadell_emp,EUR,2026-01-13 12:08:57,-250000,-246943.31,3056.69
PRODUCT_00617,COMP_0696,LINEOFCREDIT_01,lineofcredit,Bankinter,bankinter_emp,EUR,2024-07-05 07:19:17,-4000000,-1471355.7,2528644.3
PRODUCT_00618,COMP_0816,LOAN_01,loan,Laboral Kutxa,cajalaboral_emp,EUR,2023-05-30 13:56:15,-2275000,-524839.26,223.52
PRODUCT_00628,COMP_0965,LEASING_01,leasing,BBVA Net Cash Empresas,bbva_emp,EUR,2026-06-17 15:35:07,-2460163.17,-2390046.98,
PRODUCT_00629,COMP_0216,LOAN_01,loan,Deutsche Bank Empresas,deutschebank_emp,EUR,2025-11-20 12:07:17,-111600,-36476.46,
PRODUCT_00632,COMP_0048,LINEOFCREDIT_01,lineofcredit,BBVA Net Cash Empresas,bbva_emp,EUR,2026-05-12 13:46:21,,-6061.28,
PRODUCT_00633,COMP_0471,LOAN_01,loan,RuralVia,ruralvia_emp,EUR,2024-02-01 16:11:23,-113219.1,-81168.93,
PRODUCT_00635,COMP_0007,RENTING_02,renting,Other (customer-defined),custom,EUR,2026-03-31 10:47:32,-21831.84,-14261.13,
PRODUCT_00644,COMP_0474,LOAN_01,loan,Banco Santander,santander_emp,EUR,2024-05-13 07:01:32,-125000.04,-24305.63,223.52
PRODUCT_00646,COMP_0594,LOAN_01,loan,Banco Santander Empresas,santander_emp,EUR,2026-02-27 09:25:45,-1200000,-1200000,
PRODUCT_00649,COMP_0825,LOAN_02,loan,BBVA Net Cash Empresas,bbva_emp,EUR,2023-05-08 07:20:56,-57064.93,223.52,223.52
PRODUCT_00651,COMP_0982,CONFIRMING_01,confirming,Banco Santander Empresas,santander_emp,EUR,2025-03-25 10:18:18,-250000,0,250000
PRODUCT_00659,COMP_0653,LOAN_16,loan,Other (customer-defined),custom,EUR,2025-08-22 10:35:13,-60000,0,
PRODUCT_00660,COMP_1012,LOAN_01,loan,BBVA Net Cash Empresas,bbva_emp,EUR,2026-01-30 10:51:24,-51758.76,-26450.31,
PRODUCT_00661,COMP_0128,LINEOFCREDIT_01,lineofcredit,Caixabank Empresas,caixa_emp,EUR,2025-03-18 15:47:10,-60000,-36222.63,23777.37
PRODUCT_00662,COMP_0965,LINEOFCREDIT_01,lineofcredit,Caixabank Empresas,caixa_emp,EUR,2026-05-22 11:54:50,-7000000,105592.48,7105592.48
PRODUCT_00667,COMP_1272,LOAN_01,loan,iberCaja,ibercaja,EUR,2026-03-24 12:10:28,-30818.7,-8867.1,
PRODUCT_00668,COMP_0825,LOAN_03,loan,BBVA Net Cash Empresas,bbva_emp,EUR,2023-02-16 13:57:20,-700000,223.52,223.52
PRODUCT_00672,COMP_0974,LINEOFCREDIT_01,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2026-01-13 09:41:59,-1000,-71.4,928.6
PRODUCT_00673,COMP_0855,GUARANTEE_01,guarantee,BBVA Net Cash Empresas,bbva_emp,EUR,2026-08-19 10:13:59,-5000000,-2821755.31,
PRODUCT_00679,COMP_0235,LEASING_03,leasing,Caisse d Epargne Hauts de France,caisse-d-epargne-hauts-de-france,EUR,2026-01-20 16:57:39,-56159.71,-32677.46,
PRODUCT_00684,COMP_0623,LOAN_02,loan,Other (customer-defined),custom,EUR,2025-04-25 10:05:18,-1000000,-1000000,
PRODUCT_00689,COMP_1038,LOAN_01,loan,Other (customer-defined),custom,EUR,2026-06-01 17:57:31,-5074242.19,-1607099.47,
PRODUCT_00699,COMP_0909,LINEOFCREDIT_02,lineofcredit,Caja de Ingenieros,cajaingenieros,EUR,2025-01-28 17:00:06,-600000,601237.18,1201237.18
PRODUCT_00701,COMP_0101,LOAN_01,loan,Caixabank Empresas,caixa_emp,EUR,2024-12-16 17:17:09,-133461.4,0,
PRODUCT_00703,COMP_0326,LINEOFCREDIT_01,lineofcredit,BBVA Net Cash Empresas,bbva_emp,EUR,2025-09-09 11:47:00,-1100000,0,1100000
PRODUCT_00707,COMP_0087,LOAN_03,loan,Banco Santander Empresas,santander_emp,EUR,2024-10-24 11:50:49,-307331,0,
PRODUCT_00709,COMP_0495,LOAN_01,loan,Caixabank Empresas,caixa_emp,EUR,2025-12-11 08:58:24,-149853.74,-91419.26,
PRODUCT_00713,COMP_0087,LOAN_04,loan,Banco Santander Empresas,santander_emp,EUR,2024-11-11 10:10:29,-600000,0,
PRODUCT_00715,COMP_0623,LINEOFCREDIT_02,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2025-04-09 10:27:32,,0,
PRODUCT_00718,COMP_0271,LINEOFCREDIT_02,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2026-04-22 13:51:32,-1500000,-28872.81,1471127.19
PRODUCT_00720,COMP_0058,LOAN_02,loan,RuralVia Empresas,ruralvia_emp,EUR,2026-06-09 16:41:26,-1804140.55,-1716608.71,
PRODUCT_00729,COMP_1208,CONFIRMING_01,confirming,Caixabank Empresas,caixa_emp,EUR,2026-04-07 16:41:06,,0,
PRODUCT_00733,COMP_0803,LOAN_01,loan,Bankinter,bankinter_emp,EUR,2024-04-30 11:47:38,-325000,0,223.52
PRODUCT_00737,COMP_0924,LOAN_02,loan,Bankinter Empresas,bankinter_emp,EUR,2026-05-14 09:49:36,-6200000,-6200000,
PRODUCT_00743,COMP_0519,LOAN_01,loan,Abanca,abanca_emp,EUR,2024-02-13 11:55:26,-100000,-17634.78,223.52
PRODUCT_00752,COMP_0995,GUARANTEE_01,guarantee,Banco Santander Empresas,santander_emp,EUR,2025-04-22 09:11:26,0,0,
