company_id,group_id,sector,tipo,sector_set,n_sectors,top_sector_score,tenor,product_fit,confidence
COMP_0022,GROUP_0065,hostelería,servicio,hostelería,1,0.78,6 meses,Reserve · póliza | Yield · barrido | FX Shield,0.0470948
COMP_0023,GROUP_0237,hostelería,servicio,hostelería | transporte / logística | construcción,3,0.78,6 meses,Reserve · póliza | Factoring | FX Shield | Confirming,0.0460963
COMP_0024,GROUP_0222,comercio minorista,mixto,comercio minorista,1,0.68283,días,Yield · barrido | Reserve · póliza | FX Shield,0.0836994
COMP_0025,GROUP_0211,servicios profesionales,servicio,servicios profesionales,1,0.757655,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.303406
COMP_0026,GROUP_0236,servicios profesionales,servicio,servicios profesionales,1,0.581007,6 meses,Reserve · póliza | Yield · barrido,0.0079105
COMP_0027,GROUP_0241,transporte / logística,servicio,transporte / logística,1,0.78,días,Factoring | Reserve · póliza | Confirming,0.0717224
COMP_0028,GROUP_0218,construcción,mixto,construcción,1,0.504741,6 meses,Reserve · póliza | Yield · barrido,0.258791
COMP_0029,GROUP_0013,,mixto,,0,,,,0.313274
COMP_0030,GROUP_0126,comercio minorista,producto,comercio minorista,1,0.830416,días,Yield · barrido | Reserve · póliza | FX Shield,0.037669
COMP_0031,GROUP_0035,comercio minorista,mixto,comercio minorista | hostelería,2,0.668444,días,Reserve · póliza | Yield · barrido | FX Shield,0.0348056
COMP_0032,GROUP_0094,,insuficiente,,0,,,,
COMP_0033,GROUP_0130,servicios profesionales,servicio,servicios profesionales,1,0.510446,6 meses,Yield · barrido | Reserve · póliza,0.0740476
COMP_0034,GROUP_0172,comercio minorista,servicio,comercio minorista | holding / tesorería,2,0.575611,días,Reserve · póliza | Yield · barrido | FX Shield,0.216654
COMP_0035,GROUP_0115,holding / tesorería,producto,holding / tesorería | mayorista / distribución,2,0.734983,largo,Yield · barrido | Reserve · póliza | FX Shield,0.226472
COMP_0036,GROUP_0103,servicios profesionales,servicio,servicios profesionales,1,0.543586,6 meses,Yield · barrido | Reserve · póliza,0.0469681
COMP_0037,GROUP_0222,comercio minorista,mixto,comercio minorista,1,0.691672,días,Reserve · póliza | FX Shield | Yield · barrido,0.117966
COMP_0038,GROUP_0104,holding / tesorería,servicio,holding / tesorería,1,0.736542,largo,Reserve · póliza | FX Shield | Yield · barrido,0.0916562
COMP_0039,GROUP_0225,servicios profesionales,servicio,servicios profesionales,1,0.523742,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.012661
COMP_0040,GROUP_0178,servicios profesionales,servicio,servicios profesionales,1,0.541515,6 meses,Reserve · póliza | Yield · barrido,0.185224
COMP_0041,GROUP_0149,holding / tesorería,servicio,holding / tesorería | servicios profesionales,2,0.636658,largo,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.215858
COMP_0042,GROUP_0162,comercio minorista,servicio,comercio minorista,1,0.553366,días,Reserve · póliza | Yield · barrido | FX Shield,0.111306
COMP_0043,GROUP_0185,holding / tesorería,producto,holding / tesorería,1,0.687148,largo,Yield · barrido | FX Shield | Reserve · póliza,0.0844568
COMP_0044,GROUP_0241,holding / tesorería,servicio,holding / tesorería | servicios profesionales,2,0.763863,largo,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.0675482
COMP_0045,GROUP_0242,,insuficiente,,0,,,,
COMP_0046,GROUP_0062,comercio minorista,producto,comercio minorista,1,0.838287,días,Reserve · póliza | Yield · barrido | FX Shield,0.0198609
COMP_0047,GROUP_0018,software / suscripción,producto,software / suscripción | alquiler / inmobiliario | energía,3,0.78,largo,Yield · barrido | FX Shield | Reserve · póliza | Factoring,0.0223779
COMP_0048,GROUP_0241,servicios profesionales,servicio,servicios profesionales | holding / tesorería,2,0.598266,6 meses,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.0884058
COMP_0049,GROUP_0180,servicios profesionales,servicio,servicios profesionales,1,0.685032,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.196685
COMP_0050,GROUP_0230,,insuficiente,,0,,,,
COMP_0051,GROUP_0163,comercio minorista,mixto,comercio minorista | holding / tesorería,2,0.719566,días,Reserve · póliza | Yield · barrido | FX Shield,0.174633
COMP_0052,GROUP_0142,comercio minorista,producto,comercio minorista,1,0.799045,días,Reserve · póliza | Yield · barrido | FX Shield,0.0450096
COMP_0053,GROUP_0174,servicios profesionales,servicio,servicios profesionales,1,0.598657,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.0761853
COMP_0054,GROUP_0217,holding / tesorería,servicio,holding / tesorería,1,0.944616,largo,Yield · barrido | FX Shield | Reserve · póliza,0.267839
COMP_0055,GROUP_0131,alquiler / inmobiliario,servicio,alquiler / inmobiliario,1,0.78,largo,Yield · barrido | Reserve · póliza | Seguro de cobro,0.17249
COMP_0056,GROUP_0234,comercio minorista,producto,comercio minorista,1,0.778425,días,Reserve · póliza | FX Shield | Yield · barrido,0.102909
COMP_0057,GROUP_0122,servicios profesionales,servicio,servicios profesionales,1,0.750985,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.216889
COMP_0058,GROUP_0104,industria,producto,industria | holding / tesorería | mayorista / distribución,3,0.75,12 meses,Factoring | Reserve · póliza | Confirming | FX Shield,0.121161
COMP_0059,GROUP_0101,transporte / logística,servicio,transporte / logística,1,0.78,días,Factoring | Reserve · póliza | Confirming,0.161221
COMP_0060,GROUP_0112,comercio minorista,mixto,comercio minorista,1,0.749203,días,Reserve · póliza | Yield · barrido | FX Shield,0.0432871
COMP_0061,GROUP_0022,comercio minorista,mixto,comercio minorista,1,0.72559,días,Reserve · póliza | FX Shield | Yield · barrido,0.0143935
COMP_0062,GROUP_0165,servicios profesionales,servicio,servicios profesionales | holding / tesorería,2,0.571341,6 meses,Yield · barrido | Reserve · póliza | FX Shield,0.228067
COMP_0063,GROUP_0011,comercio minorista,servicio,comercio minorista,1,0.592595,días,Reserve · póliza | FX Shield | Yield · barrido,0.196302
COMP_0064,GROUP_0174,comercio minorista,mixto,comercio minorista,1,0.647639,días,Reserve · póliza | FX Shield | Yield · barrido,0.0454972
COMP_0065,GROUP_0139,construcción,servicio,construcción | servicios profesionales,2,0.75,6 meses,Factoring | Reserve · póliza | Seguro de cobro | Yield · barrido,0.183298
COMP_0066,GROUP_0115,servicios profesionales,servicio,servicios profesionales | holding / tesorería,2,0.655434,6 meses,Reserve · póliza | Yield · barrido | FX Shield,0.221215
COMP_0067,GROUP_0064,holding / tesorería,mixto,holding / tesorería,1,0.829432,largo,Yield · barrido | FX Shield | Reserve · póliza,0.338234
COMP_0068,GROUP_0142,comercio minorista,servicio,comercio minorista | hostelería,2,0.574684,días,Reserve · póliza | Yield · barrido | FX Shield,0.0334074
COMP_0069,GROUP_0175,servicios profesionales,mixto,servicios profesionales,1,0.688303,6 meses,Yield · barrido | Factoring | Reserve · póliza,0.193498
COMP_0070,GROUP_0230,comercio minorista,mixto,comercio minorista,1,0.525982,días,Yield · barrido | Reserve · póliza | FX Shield,0.114788
COMP_0071,GROUP_0102,holding / tesorería,mixto,holding / tesorería | hostelería,2,0.628457,largo,Yield · barrido | Reserve · póliza | FX Shield,0.0158475
COMP_0072,GROUP_0003,,insuficiente,,0,,,,
COMP_0073,GROUP_0101,transporte / logística,servicio,transporte / logística,1,0.78,días,Factoring | Reserve · póliza | Yield · barrido | Confirming,0.108578
COMP_0074,GROUP_0088,holding / tesorería,servicio,holding / tesorería,1,0.729071,largo,Yield · barrido | FX Shield | Reserve · póliza,0.0204157
COMP_0075,GROUP_0115,hostelería,servicio,hostelería,1,0.500994,6 meses,Reserve · póliza | FX Shield | Yield · barrido,0.037129
COMP_0076,GROUP_0146,comercio minorista,producto,comercio minorista,1,0.714841,días,Reserve · póliza | FX Shield | Yield · barrido,0.156148
COMP_0077,GROUP_0213,holding / tesorería,mixto,holding / tesorería,1,0.719415,largo,Yield · barrido | FX Shield | Reserve · póliza,0.024745
COMP_0078,GROUP_0246,holding / tesorería,servicio,holding / tesorería,1,0.814151,largo,Reserve · póliza | FX Shield | Yield · barrido,0.0638302
COMP_0079,GROUP_0203,servicios profesionales,servicio,servicios profesionales,1,0.637347,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.0816734
COMP_0080,GROUP_0112,construcción,producto,construcción | mayorista / distribución,2,0.586216,6 meses,Reserve · póliza,0.404607
COMP_0081,GROUP_0217,alquiler / inmobiliario,servicio,alquiler / inmobiliario | holding / tesorería | servicios profesionales,3,0.78,largo,Yield · barrido | Reserve · póliza | Factoring | FX Shield,0.0832174
COMP_0082,GROUP_0172,holding / tesorería,servicio,holding / tesorería,1,0.605116,largo,Reserve · póliza | FX Shield | Yield · barrido,0.113852
COMP_0083,GROUP_0133,holding / tesorería,servicio,holding / tesorería | comercio minorista,2,0.716418,largo,Reserve · póliza | Yield · barrido | FX Shield,0.095387
COMP_0084,GROUP_0138,servicios profesionales,servicio,servicios profesionales,1,0.543172,6 meses,Reserve · póliza | Yield · barrido,0.165474
COMP_0085,GROUP_0155,alquiler / inmobiliario,servicio,alquiler / inmobiliario,1,0.78,largo,Reserve · póliza | Yield · barrido | Seguro de cobro,0.00345707
COMP_0086,GROUP_0168,servicios profesionales,servicio,servicios profesionales | hostelería,2,0.543724,6 meses,Reserve · póliza | Yield · barrido | FX Shield,0.129739
COMP_0087,GROUP_0065,comercio minorista,producto,comercio minorista | construcción | holding / tesorería,3,0.627434,días,Reserve · póliza | Yield · barrido | FX Shield,0.0422928
COMP_0088,GROUP_0172,holding / tesorería,servicio,holding / tesorería,1,0.770609,largo,Reserve · póliza | FX Shield | Yield · barrido,0.0476705
COMP_0089,GROUP_0153,holding / tesorería,servicio,holding / tesorería | servicios profesionales,2,0.672873,largo,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.294116
COMP_0090,GROUP_0116,,mixto,,0,,,,0.32753
COMP_0091,GROUP_0237,hostelería,servicio,hostelería,1,0.78,6 meses,Reserve · póliza | FX Shield | Yield · barrido,0.132745
COMP_0092,GROUP_0159,comercio minorista,mixto,comercio minorista | mayorista / distribución,2,0.632177,días,Reserve · póliza | FX Shield | Yield · barrido,0.110928
COMP_0093,GROUP_0149,servicios profesionales,servicio,servicios profesionales,1,0.486114,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.292935
COMP_0094,GROUP_0021,holding / tesorería,servicio,holding / tesorería,1,0.675468,largo,Yield · barrido | FX Shield | Reserve · póliza,0.111686
COMP_0095,GROUP_0240,,insuficiente,,0,,,,
COMP_0096,GROUP_0217,holding / tesorería,servicio,holding / tesorería,1,0.947916,largo,Reserve · póliza | FX Shield | Yield · barrido,0.268498
COMP_0097,GROUP_0170,construcción,mixto,construcción,1,0.461508,6 meses,Reserve · póliza | Yield · barrido,0.403613
COMP_0098,GROUP_0132,servicios profesionales,servicio,servicios profesionales,1,0.68,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.167609
COMP_0099,GROUP_0238,holding / tesorería,mixto,holding / tesorería | hostelería,2,0.588505,largo,Reserve · póliza | Yield · barrido | FX Shield,0.193207
COMP_0100,GROUP_0129,comercio minorista,mixto,comercio minorista | holding / tesorería,2,0.609664,días,Yield · barrido | Reserve · póliza | FX Shield,0.17934
COMP_0101,GROUP_0108,servicios profesionales,servicio,servicios profesionales,1,0.776486,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.208191
COMP_0102,GROUP_0158,holding / tesorería,servicio,holding / tesorería,1,0.861537,largo,Reserve · póliza | FX Shield | Yield · barrido,0.233734
COMP_0103,GROUP_0170,holding / tesorería,mixto,holding / tesorería,1,0.535729,largo,Yield · barrido | FX Shield | Reserve · póliza,0.13344
COMP_0104,GROUP_0173,transporte / logística,servicio,transporte / logística | holding / tesorería,2,0.78,días,Reserve · póliza | Factoring | FX Shield | Yield · barrido,0.245945
COMP_0105,GROUP_0079,servicios profesionales,servicio,servicios profesionales | hostelería | software / suscripción,3,0.8263,6 meses,Reserve · póliza | Yield · barrido | FX Shield | Factoring,0.249342
COMP_0106,GROUP_0022,mayorista / distribución,producto,mayorista / distribución,1,0.504255,12 meses,Factoring | Confirming | Yield · barrido | Reserve · póliza,0.193665
COMP_0107,GROUP_0094,comercio minorista,producto,comercio minorista | servicios profesionales,2,0.676629,días,Yield · barrido | Reserve · póliza | Factoring | FX Shield,0.122854
COMP_0108,GROUP_0179,mayorista / distribución,producto,mayorista / distribución | construcción,2,0.574862,12 meses,Reserve · póliza,0.31399
COMP_0109,GROUP_0170,comercio minorista,servicio,comercio minorista,1,0.600259,días,Reserve · póliza | Yield · barrido | FX Shield,0.118961
COMP_0110,GROUP_0008,servicios profesionales,servicio,servicios profesionales,1,0.594969,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.385671
COMP_0111,GROUP_0243,servicios profesionales,servicio,servicios profesionales,1,0.559328,6 meses,Reserve · póliza | Yield · barrido,0.120097
COMP_0112,GROUP_0222,comercio minorista,mixto,comercio minorista,1,0.653517,días,Yield · barrido | Reserve · póliza | FX Shield,0.0666014
COMP_0113,GROUP_0070,mayorista / distribución,mixto,mayorista / distribución | servicios profesionales,2,0.539727,12 meses,Factoring | Yield · barrido | Reserve · póliza | Confirming,0.08944
COMP_0114,GROUP_0044,,insuficiente,,0,,,,
COMP_0115,GROUP_0095,servicios profesionales,servicio,servicios profesionales,1,0.580592,6 meses,Reserve · póliza | Yield · barrido,0.0241911
COMP_0116,GROUP_0195,comercio minorista,servicio,comercio minorista,1,0.493456,días,Reserve · póliza | Yield · barrido | FX Shield,0.0529783
COMP_0117,GROUP_0101,servicios profesionales,servicio,servicios profesionales,1,0.811388,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.0721766
COMP_0118,GROUP_0138,servicios profesionales,servicio,servicios profesionales | holding / tesorería,2,0.650048,6 meses,Reserve · póliza | Yield · barrido | FX Shield,0.290583
COMP_0119,GROUP_0048,comercio minorista,mixto,comercio minorista,1,0.652221,días,Reserve · póliza | FX Shield | Yield · barrido,0.0963006
COMP_0120,GROUP_0210,servicios profesionales,servicio,servicios profesionales,1,0.520186,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.144388
COMP_0121,GROUP_0158,holding / tesorería,servicio,holding / tesorería | servicios profesionales,2,0.656483,largo,Reserve · póliza | Yield · barrido | FX Shield,0.252217
COMP_0122,GROUP_0086,comercio minorista,servicio,comercio minorista,1,0.69098,días,Yield · barrido | Reserve · póliza | FX Shield,0.0863311
COMP_0123,GROUP_0153,holding / tesorería,servicio,holding / tesorería | servicios profesionales | transporte / logística,3,0.574,largo,Factoring | Yield · barrido | Reserve · póliza | FX Shield,0.0417961
COMP_0124,GROUP_0136,servicios profesionales,servicio,servicios profesionales | holding / tesorería,2,0.736638,6 meses,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.206591
COMP_0125,GROUP_0250,holding / tesorería,mixto,holding / tesorería,1,0.907422,largo,Yield · barrido | FX Shield | Reserve · póliza,0.257282
COMP_0126,GROUP_0220,holding / tesorería,servicio,holding / tesorería,1,0.699341,largo,Yield · barrido | FX Shield | Reserve · póliza,0.222877
COMP_0127,GROUP_0064,,insuficiente,,0,,,,
COMP_0128,GROUP_0103,mayorista / distribución,mixto,mayorista / distribución | holding / tesorería,2,0.680841,12 meses,Yield · barrido | Reserve · póliza | FX Shield,0.239227
COMP_0129,GROUP_0185,holding / tesorería,producto,holding / tesorería,1,0.715161,largo,Reserve · póliza | FX Shield | Yield · barrido,0.0897335
COMP_0130,GROUP_0079,servicios profesionales,servicio,servicios profesionales,1,0.911306,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.306821
COMP_0131,GROUP_0070,comercio minorista,producto,comercio minorista,1,0.640897,días,Yield · barrido | Reserve · póliza | FX Shield,0.191656
COMP_0132,GROUP_0104,holding / tesorería,mixto,holding / tesorería,1,0.67066,largo,Reserve · póliza | FX Shield | Yield · barrido,0.0102234
COMP_0133,GROUP_0103,holding / tesorería,producto,holding / tesorería,1,0.783658,largo,Yield · barrido | FX Shield | Reserve · póliza,0.409827
COMP_0134,GROUP_0169,,insuficiente,,0,,,,
COMP_0135,GROUP_0050,comercio minorista,mixto,comercio minorista,1,0.71047,días,Reserve · póliza | Yield · barrido | FX Shield,0.128032
COMP_0136,GROUP_0142,servicios profesionales,servicio,servicios profesionales,1,0.493736,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.095118
COMP_0137,GROUP_0217,holding / tesorería,servicio,holding / tesorería,1,0.926825,largo,Reserve · póliza | FX Shield | Yield · barrido,0.279812
COMP_0138,GROUP_0035,comercio minorista,servicio,comercio minorista | hostelería,2,0.603549,días,Reserve · póliza | Yield · barrido | FX Shield,0.0858314
COMP_0139,GROUP_0217,servicios profesionales,servicio,servicios profesionales,1,0.651423,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.185039
COMP_0140,GROUP_0072,energía,servicio,energía | servicios profesionales,2,0.78,12 meses,Factoring | Yield · barrido | FX Shield | Reserve · póliza,0.0181322
COMP_0141,GROUP_0220,comercio minorista,producto,comercio minorista,1,0.780703,días,Yield · barrido | Reserve · póliza | FX Shield,0.0392393
COMP_0142,GROUP_0217,servicios profesionales,servicio,servicios profesionales | alquiler / inmobiliario,2,0.861875,6 meses,Reserve · póliza | Yield · barrido | Factoring | Seguro de cobro,0.153114
COMP_0143,GROUP_0146,comercio minorista,servicio,comercio minorista,1,0.559533,días,Yield · barrido | Reserve · póliza | FX Shield,0.0622969
COMP_0144,GROUP_0236,servicios profesionales,servicio,servicios profesionales,1,0.480482,6 meses,Yield · barrido | Reserve · póliza,0.182026
COMP_0145,GROUP_0007,holding / tesorería,servicio,holding / tesorería,1,0.725456,largo,Yield · barrido | FX Shield | Reserve · póliza,0.117873
COMP_0146,GROUP_0020,servicios profesionales,servicio,servicios profesionales,1,0.622017,6 meses,Reserve · póliza | Yield · barrido,0.0974539
COMP_0147,GROUP_0227,comercio minorista,servicio,comercio minorista,1,0.581411,días,Reserve · póliza | Yield · barrido | FX Shield,0.120957
COMP_0148,GROUP_0016,servicios profesionales,servicio,servicios profesionales,1,0.4907,6 meses,Yield · barrido | Reserve · póliza,0.393532
COMP_0149,GROUP_0132,servicios profesionales,mixto,servicios profesionales | comercio minorista,2,0.72,6 meses,Reserve · póliza | Factoring | Yield · barrido | FX Shield,0.133559
COMP_0150,GROUP_0081,comercio minorista,mixto,comercio minorista,1,0.771013,días,Reserve · póliza | FX Shield | Yield · barrido,0.0928706
COMP_0151,GROUP_0101,software / suscripción,mixto,software / suscripción | transporte / logística,2,0.78,largo,Yield · barrido | Reserve · póliza | Factoring | FX Shield,0.109364
COMP_0152,GROUP_0037,servicios profesionales,servicio,servicios profesionales,1,0.53523,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.124997
COMP_0153,GROUP_0115,servicios profesionales,servicio,servicios profesionales | holding / tesorería,2,0.641901,6 meses,Yield · barrido | Reserve · póliza | FX Shield,0.152669
COMP_0154,GROUP_0003,,insuficiente,,0,,,,
COMP_0155,GROUP_0143,holding / tesorería,producto,holding / tesorería,1,0.92086,largo,Reserve · póliza | FX Shield | Yield · barrido,0.221326
COMP_0156,GROUP_0187,servicios profesionales,servicio,servicios profesionales,1,0.565403,6 meses,Reserve · póliza | Yield · barrido,0.26534
COMP_0157,GROUP_0146,comercio minorista,producto,comercio minorista | construcción,2,0.630748,días,Reserve · póliza | FX Shield | Yield · barrido,0.154115
COMP_0158,GROUP_0001,comercio minorista,producto,comercio minorista,1,0.88779,días,Reserve · póliza | FX Shield | Yield · barrido,0.174961
COMP_0159,GROUP_0102,servicios profesionales,servicio,servicios profesionales,1,0.621228,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.220154
COMP_0160,GROUP_0106,servicios profesionales,servicio,servicios profesionales,1,0.571341,6 meses,Yield · barrido | Reserve · póliza,0.333217
COMP_0161,GROUP_0079,servicios profesionales,servicio,servicios profesionales,1,0.742195,6 meses,Yield · barrido | Factoring | Reserve · póliza,0.235989
COMP_0162,GROUP_0095,servicios profesionales,servicio,servicios profesionales | mayorista / distribución,2,0.62326,6 meses,Reserve · póliza | Yield · barrido,0.295585
COMP_0163,GROUP_0094,servicios profesionales,servicio,servicios profesionales | mayorista / distribución,2,0.765878,6 meses,Factoring | Reserve · póliza | Confirming | Yield · barrido,0.0851583
COMP_0164,GROUP_0154,holding / tesorería,mixto,holding / tesorería,1,0.74947,largo,Reserve · póliza | FX Shield | Yield · barrido,0.252799
COMP_0165,GROUP_0035,servicios profesionales,servicio,servicios profesionales,1,0.490424,6 meses,Yield · barrido | Reserve · póliza,0.196012
COMP_0166,GROUP_0149,comercio minorista,producto,comercio minorista,1,0.856307,días,Reserve · póliza | Yield · barrido | FX Shield,0.0961567
COMP_0167,GROUP_0218,software / suscripción,servicio,software / suscripción | servicios profesionales,2,0.78,largo,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.0991303
COMP_0168,GROUP_0061,,insuficiente,,0,,,,
COMP_0169,GROUP_0090,comercio minorista,servicio,comercio minorista | servicios profesionales | hostelería,3,0.611603,6 meses,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.00184237
COMP_0170,GROUP_0128,,insuficiente,,0,,,,
COMP_0171,GROUP_0048,holding / tesorería,mixto,holding / tesorería,1,0.919836,largo,Reserve · póliza | FX Shield | Yield · barrido,0.331768
COMP_0172,GROUP_0212,comercio minorista,producto,comercio minorista | mayorista / distribución | construcción,3,0.676937,días,Reserve · póliza | Yield · barrido | FX Shield,0.0999393
COMP_0173,GROUP_0019,comercio minorista,mixto,comercio minorista,1,0.580549,días,Reserve · póliza | FX Shield | Yield · barrido,0.0920323
COMP_0174,GROUP_0017,servicios profesionales,servicio,servicios profesionales,1,0.641211,6 meses,Reserve · póliza | Yield · barrido,0.372814
COMP_0175,GROUP_0143,servicios profesionales,servicio,servicios profesionales,1,0.479377,6 meses,Reserve · póliza | Yield · barrido,0.0794853
COMP_0176,GROUP_0225,servicios profesionales,mixto,servicios profesionales | mayorista / distribución,2,0.560392,6 meses,Factoring | Yield · barrido | Reserve · póliza | Confirming,0.232072
COMP_0177,GROUP_0185,comercio minorista,producto,comercio minorista,1,0.721661,días,Reserve · póliza | FX Shield | Yield · barrido,0.196303
COMP_0178,GROUP_0220,holding / tesorería,servicio,holding / tesorería,1,0.794013,largo,Yield · barrido | FX Shield | Reserve · póliza,0.0649547
COMP_0179,GROUP_0017,comercio minorista,producto,comercio minorista,1,0.710491,días,Reserve · póliza | FX Shield | Yield · barrido,0.161598
COMP_0180,GROUP_0055,energía,servicio,energía | construcción | servicios profesionales,3,0.78,6 meses,Factoring | Reserve · póliza | FX Shield | Seguro de cobro,0.00464126
COMP_0181,GROUP_0045,holding / tesorería,mixto,holding / tesorería | comercio minorista,2,0.584768,largo,Reserve · póliza | Yield · barrido | FX Shield,0.179981
COMP_0182,GROUP_0179,comercio minorista,servicio,comercio minorista | hostelería,2,0.541228,días,Reserve · póliza | Yield · barrido | FX Shield,0.0445923
COMP_0183,GROUP_0232,servicios profesionales,servicio,servicios profesionales,1,0.525662,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.138701
COMP_0184,GROUP_0044,mayorista / distribución,mixto,mayorista / distribución | servicios profesionales,2,0.599288,12 meses,Factoring | Yield · barrido | Reserve · póliza | Confirming,0.0351918
COMP_0185,GROUP_0044,hostelería,servicio,hostelería | holding / tesorería,2,0.78,6 meses,Reserve · póliza | Yield · barrido | FX Shield,0.0949717
COMP_0186,GROUP_0142,comercio minorista,mixto,comercio minorista | hostelería,2,0.557405,días,Reserve · póliza | Yield · barrido | FX Shield,0.0340749
COMP_0187,GROUP_0044,,insuficiente,,0,,,,
COMP_0188,GROUP_0158,comercio minorista,servicio,comercio minorista,1,0.769687,días,Reserve · póliza | Yield · barrido | FX Shield,0.123959
COMP_0189,GROUP_0211,comercio minorista,producto,comercio minorista | holding / tesorería,2,0.748422,días,Reserve · póliza | Yield · barrido | FX Shield,0.0544918
COMP_0190,GROUP_0182,comercio minorista,servicio,comercio minorista,1,0.628491,días,Reserve · póliza | FX Shield | Yield · barrido,0.155897
COMP_0191,GROUP_0132,servicios profesionales,servicio,servicios profesionales,1,0.68,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.0738893
COMP_0192,GROUP_0048,holding / tesorería,mixto,holding / tesorería,1,0.679436,largo,Reserve · póliza | FX Shield | Yield · barrido,0.0454233
COMP_0193,GROUP_0224,comercio minorista,mixto,comercio minorista | hostelería,2,0.703423,días,Reserve · póliza | Yield · barrido | FX Shield,0.0318279
