company_id,group_id,business_kind,sector_set,n_sectors,top_sector,top_sector_score,tenor,product_fit,kind_score,goods_score,service_score,regime_id,regime_label,confidence,n_tx,n_cat_tx,has_invoices,uncat_share,has_tpv,has_confirming,has_factoring,has_saving,has_lineofcredit,payroll_share,pos_cash_share,dso,dpo,n_customers,hhi_ar,goods_docs,service_tokens,runway_m
COMP_0011,GROUP_0234,servicio,servicios profesionales,1,servicios profesionales,0.58943,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.19873,0.0698137,0.268544,0,seguridad social + nóminas,0.0198835,103,99,true,0.403377,0,0,0,0,0,0.0390653,0,7,0,7,0.942476,0,0,1.34068
COMP_0012,GROUP_0087,insuficiente,,0,,,,,,,,,sin cobertura,,148,16,false,0.997101,0,0,0,0,0,0,0,,,,,,,0.136113
COMP_0013,GROUP_0203,servicio,servicios profesionales | holding / tesorería,2,servicios profesionales,0.64197,6 meses,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.336076,0.326254,0.66233,0,seguridad social + nóminas,0.13497,788,566,true,0.127912,0,0,0,0,0,0.20874,0.00305765,0,0,45,0.525202,0,0.0019685,0.159167
COMP_0014,GROUP_0173,servicio,software / suscripción | transporte / logística | construcción,3,software / suscripción,0.78,largo,Reserve · póliza | Factoring | FX Shield | Yield · barrido,0.241092,0.203148,0.44424,2,cobros,0.198042,2758,2710,true,0.00072662,0,0,0,0,0,0,0,0,30,261,0.0284456,0.523717,0.000866363,-0.020474
COMP_0015,GROUP_0068,producto,mayorista / distribución,1,mayorista / distribución,0.485116,12 meses,Factoring | Confirming | Yield · barrido | Reserve · póliza,-0.189014,0.195619,0.00660468,2,cobros,0.180962,28,28,true,0,0,0,0,0,0,0,0,,0,0,,0,0,3305.6
COMP_0016,GROUP_0070,producto,holding / tesorería,1,holding / tesorería,0.963302,largo,Yield · barrido | FX Shield | Reserve · póliza,-0.104495,0.135241,0.0307457,2,cobros,0.214375,737,526,true,0.25344,0,0,0,0,0,0,0,0,53,5,0.943401,0,0,8.28413
COMP_0017,GROUP_0073,producto,comercio minorista,1,comercio minorista,0.845744,días,Yield · barrido | Reserve · póliza | FX Shield,-0.24486,0.548374,0.303515,2,cobros,0.0943385,74,71,true,0.00246629,0,0,0,0,0,0,0.0435808,,26.5,2,,0.0740741,0.0740741,21.8255
COMP_0018,GROUP_0250,producto,mayorista / distribución,1,mayorista / distribución,0.47107,12 meses,Factoring | Confirming | Yield · barrido | Reserve · póliza,-0.0927621,0.199138,0.106376,2,cobros,0.29427,340,250,true,0.00978282,0,0,0,0,0,0,0,12,2,24,0.0453869,0,0,2.03252
COMP_0019,GROUP_0212,servicio,servicios profesionales,1,servicios profesionales,0.496085,6 meses,Reserve · póliza | Yield · barrido,0.305226,0.432684,0.73791,3,liquidación de efectivo + retirada de efectivo,0.0642103,7051,6972,false,0.0016338,0,0,0,0,0,0.0254446,0.000948587,,,,,,,0.153636
COMP_0020,GROUP_0007,servicio,holding / tesorería,1,holding / tesorería,0.794428,largo,Yield · barrido | FX Shield | Reserve · póliza,0.153402,0.229702,0.383104,2,cobros,0.157486,306,213,false,0.108022,0,0,0,0,1,2.22559e-06,0,,,,,,,26.854
COMP_0021,GROUP_0023,servicio,servicios profesionales,1,servicios profesionales,0.603153,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.16816,0.187973,0.356133,0,seguridad social + nóminas,0.0265898,101,101,true,0,0,0,0,0,0,0.0703113,0,23,13,2,0.520622,0,0,1.10023
COMP_0022,GROUP_0065,servicio,hostelería,1,hostelería,0.78,6 meses,Reserve · póliza | Yield · barrido | FX Shield,0.223457,0.53356,0.757016,3,liquidación de efectivo + retirada de efectivo,0.0470945,6996,5569,true,0.132352,0,0,0,0,0,0.0842174,0.0963683,15,50,30,0.39822,0,0.0236175,1.30192
COMP_0023,GROUP_0237,servicio,hostelería | transporte / logística | construcción,3,hostelería,0.78,6 meses,Reserve · póliza | Factoring | FX Shield | Confirming,0.14106,0.366471,0.507531,3,liquidación de efectivo + retirada de efectivo,0.0460973,2444,596,true,0.521323,0,0,0,0,1,0,0.233991,30,30,152,0.0832425,0,0.0106411,0.295121
COMP_0024,GROUP_0222,mixto,comercio minorista,1,comercio minorista,0.68283,días,Yield · barrido | Reserve · póliza | FX Shield,0.00827857,0.500293,0.508572,3,liquidación de efectivo + retirada de efectivo,0.0836994,2282,1613,true,0.213721,0,0,0,0,0,0.0417593,0.0292027,0,19.5,996,0.00269956,0,0,9.85084
COMP_0025,GROUP_0211,servicio,servicios profesionales,1,servicios profesionales,0.757655,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.292369,0.0836599,0.376029,2,cobros,0.303406,892,216,true,0.70385,0,0,0,0,0,0,0,30,21,99,0.399021,0,0.0456026,0.503773
COMP_0026,GROUP_0236,servicio,servicios profesionales,1,servicios profesionales,0.581007,6 meses,Reserve · póliza | Yield · barrido,0.548852,0.145195,0.694047,0,seguridad social + nóminas,0.00791171,652,210,false,0.528723,0,0,0,0,0,0.025993,0,,,,,,,0.0854101
COMP_0027,GROUP_0241,servicio,transporte / logística,1,transporte / logística,0.78,días,Factoring | Reserve · póliza | Confirming,0.221603,0.451616,0.67322,3,liquidación de efectivo + retirada de efectivo,0.0717224,1147,1111,true,0.0028997,0,0,0,0,1,0.088568,0.0444837,60,64,253,0.037261,0,0.00180126,0.12018
COMP_0028,GROUP_0218,mixto,construcción,1,construcción,0.504741,6 meses,Reserve · póliza | Yield · barrido,0.00924207,0.0350041,0.0442462,2,cobros,0.258792,38,30,false,0.00127221,0,0,0,0,0,0,0,,,,,,,1157.29
COMP_0029,GROUP_0013,mixto,,0,,,,,-0.0189595,0.0938067,0.0748472,2,cobros,0.313274,332,77,true,0.570047,0,0,0,0,0,0,0,89,75,27,0.472537,0,0,13.2408
COMP_0030,GROUP_0126,producto,comercio minorista,1,comercio minorista,0.830416,días,Yield · barrido | Reserve · póliza | FX Shield,-0.149315,0.206504,0.0571883,2,cobros,0.0376698,4210,1021,false,0.712079,0,0,0,0,0,0,0.0320001,,,,,,,2.76257
COMP_0031,GROUP_0035,mixto,comercio minorista | hostelería,2,comercio minorista,0.668444,días,Reserve · póliza | Yield · barrido | FX Shield,0.0623557,0.466569,0.528924,0,seguridad social + nóminas,0.0348056,4963,4818,true,0.0417569,0,0,0,0,0,0.262495,0.112834,0,5,3,0.978128,0,0,0.0187789
COMP_0032,GROUP_0094,insuficiente,,0,,,,,,,,,sin cobertura,,31,21,true,0.00375037,0,0,0,0,0,0,0,,7,0,,0,0,
COMP_0033,GROUP_0130,servicio,servicios profesionales,1,servicios profesionales,0.510446,6 meses,Yield · barrido | Reserve · póliza,0.586558,0.185998,0.772556,2,cobros,0.0740458,792,224,false,0.356788,0,0,0,0,0,0.0272751,8.9945e-05,,,,,,,
COMP_0034,GROUP_0172,servicio,comercio minorista | holding / tesorería,2,comercio minorista,0.575611,días,Reserve · póliza | Yield · barrido | FX Shield,0.254086,0.382353,0.636439,3,liquidación de efectivo + retirada de efectivo,0.216654,5889,3651,false,0.0831931,0,0,0,0,0,0.0071306,0.0332377,,,,,,,0.0298809
COMP_0035,GROUP_0115,producto,holding / tesorería | mayorista / distribución,2,holding / tesorería,0.734983,largo,Yield · barrido | Reserve · póliza | FX Shield,-0.11495,0.353977,0.239027,2,cobros,0.226472,123,65,false,0.338627,0,0,0,0,0,0.00254687,0,,,,,,,66.9844
COMP_0036,GROUP_0103,servicio,servicios profesionales,1,servicios profesionales,0.543586,6 meses,Yield · barrido | Reserve · póliza,0.456659,0.425228,0.881887,0,seguridad social + nóminas,0.0469676,1171,1136,false,0.000409329,0,0,0,0,0,0.118682,0.000258946,,,,,,,2.52556
COMP_0037,GROUP_0222,mixto,comercio minorista,1,comercio minorista,0.691672,días,Reserve · póliza | FX Shield | Yield · barrido,-0.0100436,0.496994,0.48695,3,liquidación de efectivo + retirada de efectivo,0.117966,564,526,true,0.00744696,0,0,0,0,0,0.0115495,0.0189949,0,27,75,0.0269858,0,0.0018018,0.92771
COMP_0038,GROUP_0104,servicio,holding / tesorería,1,holding / tesorería,0.736542,largo,Reserve · póliza | FX Shield | Yield · barrido,0.0889763,0.172987,0.261963,0,seguridad social + nóminas,0.0916562,1242,619,true,0.119923,0,0,0,0,0,0.00695523,0.00111379,26,32.5,31,0.265544,0,0,0.073273
COMP_0039,GROUP_0225,servicio,servicios profesionales,1,servicios profesionales,0.523742,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.348087,0.151383,0.49947,2,cobros,0.0126603,416,70,true,0.471955,0,0,0,0,0,0.14251,0.00404407,25,25,1,1,0,0,0.698497
COMP_0040,GROUP_0178,servicio,servicios profesionales,1,servicios profesionales,0.541515,6 meses,Reserve · póliza | Yield · barrido,0.458598,0.149959,0.608557,2,cobros,0.185222,81,81,false,0,0,0,0,0,1,0.000124502,0,,,,,,,0.894156
COMP_0041,GROUP_0149,servicio,holding / tesorería | servicios profesionales,2,holding / tesorería,0.636658,largo,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.268813,0.149497,0.41831,0,seguridad social + nóminas,0.215858,364,305,true,0.0113586,0,0,0,0,0,0.145652,0.000597008,19,103,6,0.859765,0,0,0.235911
COMP_0042,GROUP_0162,servicio,comercio minorista,1,comercio minorista,0.553366,días,Reserve · póliza | Yield · barrido | FX Shield,0.116949,0.218365,0.335313,3,liquidación de efectivo + retirada de efectivo,0.111306,1848,677,true,0.667121,0,0,0,0,0,0.0121008,0.0448215,30,30,56,0.990628,0,0,1.49143
COMP_0043,GROUP_0185,producto,holding / tesorería,1,holding / tesorería,0.687148,largo,Yield · barrido | FX Shield | Reserve · póliza,-0.227573,0.443156,0.215584,3,liquidación de efectivo + retirada de efectivo,0.0844568,1600,1301,true,0.164593,0,0,0,0,0,0.00660367,0.000109859,30,30,26,0.622938,0,0,1.28684
COMP_0044,GROUP_0241,servicio,holding / tesorería | servicios profesionales,2,holding / tesorería,0.763863,largo,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.400677,0.196034,0.596711,0,seguridad social + nóminas,0.0675482,349,341,true,0.000103916,0,0,0,0,0,0.134066,0,60,50,14,0.322931,0,0.00253807,-2.6994e-17
COMP_0045,GROUP_0242,insuficiente,,0,,,,,,,,,sin cobertura,,187,19,false,0.81904,0,0,0,0,0,0,0,,,,,,,2.22539
COMP_0046,GROUP_0062,producto,comercio minorista,1,comercio minorista,0.838287,días,Reserve · póliza | Yield · barrido | FX Shield,-0.137637,0.348384,0.210747,2,cobros,0.0198617,123,99,false,0.279159,0,0,0,0,0,0.000892029,0.330036,,,,,,,
COMP_0047,GROUP_0018,producto,software / suscripción | alquiler / inmobiliario | energía,3,software / suscripción,0.78,largo,Yield · barrido | FX Shield | Reserve · póliza | Factoring,-0.0843507,0.537645,0.453294,0,seguridad social + nóminas,0.0223784,3279,2438,true,0.423272,0,1,0,0,1,0.00502387,0.000636149,10,30,55,0.311582,0,0.0386643,8.70302
COMP_0048,GROUP_0241,servicio,servicios profesionales | holding / tesorería,2,servicios profesionales,0.598266,6 meses,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.359885,0.333107,0.692993,3,liquidación de efectivo + retirada de efectivo,0.0884058,739,713,true,0.0129978,0,0,0,0,1,0.0895463,0.0348572,60,58,17,0.965677,0,0.025716,-4.4227e-16
COMP_0049,GROUP_0180,servicio,servicios profesionales,1,servicios profesionales,0.685032,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.278598,0.279854,0.558452,0,seguridad social + nóminas,0.196684,2781,1841,true,0.147706,0,0,0,0,1,0.0726426,1.52377e-05,26.5,7,50,0.416493,0,0.103556,-0.123062
COMP_0050,GROUP_0230,insuficiente,,0,,,,,,,,,sin cobertura,,44,14,true,0.611392,0,0,0,0,0,0,0,45.5,64.5,9,0.329155,0,0,4.4314
COMP_0051,GROUP_0163,mixto,comercio minorista | holding / tesorería,2,comercio minorista,0.719566,días,Reserve · póliza | Yield · barrido | FX Shield,-0.0571868,0.315748,0.258561,3,liquidación de efectivo + retirada de efectivo,0.174633,2252,1701,true,0.0896562,0,0,0,0,1,0.00978291,0.158223,2,13,88,0.283594,0,0,0.288367
COMP_0052,GROUP_0142,producto,comercio minorista,1,comercio minorista,0.799045,días,Reserve · póliza | Yield · barrido | FX Shield,-0.19273,0.300109,0.107379,3,liquidación de efectivo + retirada de efectivo,0.0450094,405,321,true,0.105674,0,0,0,0,0,0,0.0249157,5,10,6,0.291075,0,0,1.42258
COMP_0053,GROUP_0174,servicio,servicios profesionales,1,servicios profesionales,0.598657,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.239872,0.281321,0.521194,0,seguridad social + nóminas,0.0761863,159,149,true,0.0337689,0,0,0,0,0,0.0670517,0,30,57.5,1,1,0,0,0.673185
COMP_0054,GROUP_0217,servicio,holding / tesorería,1,holding / tesorería,0.944616,largo,Yield · barrido | FX Shield | Reserve · póliza,0.401838,0.12666,0.528498,2,cobros,0.267838,1117,1038,true,0.00472899,0,0,0,0,0,0,0,30,30,17,0.619812,0,0.0404192,1.47333
COMP_0055,GROUP_0131,servicio,alquiler / inmobiliario,1,alquiler / inmobiliario,0.78,largo,Yield · barrido | Reserve · póliza | Seguro de cobro,0.238173,0.0773837,0.315556,2,cobros,0.17249,551,322,true,0.14762,0,0,0,0,0,0,0,73,33,77,0.148013,0,0.00543478,
COMP_0056,GROUP_0234,producto,comercio minorista,1,comercio minorista,0.778425,días,Reserve · póliza | FX Shield | Yield · barrido,-0.0768973,0.260585,0.183687,3,liquidación de efectivo + retirada de efectivo,0.102909,236,223,true,0.0761667,0,0,0,0,0,0.00626367,0.207431,7,0,38,0.979528,0,0,0.100776
COMP_0057,GROUP_0122,servicio,servicios profesionales,1,servicios profesionales,0.750985,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.329635,0.161433,0.491068,2,cobros,0.216889,376,161,true,0.761846,0,0,0,0,0,0,0,43,30,66,0.100534,0,0.0405616,1.84395
COMP_0058,GROUP_0104,producto,industria | holding / tesorería | mayorista / distribución,3,industria,0.75,12 meses,Factoring | Reserve · póliza | Confirming | FX Shield,-0.113766,0.591527,0.47776,1,liquidación TPV + cobros masivos,0.121162,4896,3689,true,0.129385,0,1,1,0,1,0.0134584,0.00582944,109,70,143,0.364411,0,0,-0.0181
COMP_0059,GROUP_0101,servicio,transporte / logística,1,transporte / logística,0.78,días,Factoring | Reserve · póliza | Confirming,0.0931144,0.246145,0.339259,2,cobros,0.161221,660,244,true,0.539174,0,0,0,0,0,0,0.000451509,12,24,12,0.998692,0,0.0295455,1.54187
COMP_0060,GROUP_0112,mixto,comercio minorista,1,comercio minorista,0.749203,días,Reserve · póliza | Yield · barrido | FX Shield,-0.0680973,0.342353,0.274256,2,cobros,0.043288,119,105,true,0.000151199,0,0,0,0,0,0,0.0264609,,17,5,,0,0.028169,
COMP_0061,GROUP_0022,mixto,comercio minorista,1,comercio minorista,0.72559,días,Reserve · póliza | FX Shield | Yield · barrido,-0.0261095,0.280862,0.254752,3,liquidación de efectivo + retirada de efectivo,0.014393,2087,247,false,0.830538,0,0,0,0,0,0.000126939,0.0887319,,,,,,,0.189453
COMP_0062,GROUP_0165,servicio,servicios profesionales | holding / tesorería,2,servicios profesionales,0.571341,6 meses,Yield · barrido | Reserve · póliza | FX Shield,0.279302,0.200704,0.480006,0,seguridad social + nóminas,0.228067,949,522,false,0.209131,0,0,0,0,0,0.227437,4.00561e-05,,,,,,,
COMP_0063,GROUP_0011,servicio,comercio minorista,1,comercio minorista,0.592595,días,Reserve · póliza | FX Shield | Yield · barrido,0.0750118,0.633389,0.7084,3,liquidación de efectivo + retirada de efectivo,0.196302,855,570,false,0.337442,0,0,0,0,0,0.0458101,0.132151,,,,,,,0.135656
COMP_0064,GROUP_0174,mixto,comercio minorista,1,comercio minorista,0.647639,días,Reserve · póliza | FX Shield | Yield · barrido,-0.0207333,0.347095,0.326362,3,liquidación de efectivo + retirada de efectivo,0.0454984,404,293,true,0.260175,0,0,0,0,0,0,0.0857083,90,47,11,0.363867,0,0,0.468189
COMP_0065,GROUP_0139,servicio,construcción | servicios profesionales,2,construcción,0.75,6 meses,Factoring | Reserve · póliza | Seguro de cobro | Yield · barrido,0.0813738,0.648606,0.72998,1,liquidación TPV + cobros masivos,0.183298,1131,1068,true,0.0325479,0,1,1,0,0,0.0822326,0.0209772,46,16,60,0.159708,0,0.0480307,0.0127836
COMP_0066,GROUP_0115,servicio,servicios profesionales | holding / tesorería,2,servicios profesionales,0.655434,6 meses,Reserve · póliza | Yield · barrido | FX Shield,0.467188,0.0474316,0.51462,0,seguridad social + nóminas,0.221214,151,149,false,1.98824e-05,0,0,0,0,0,0.898445,0,,,,,,,0.872476
COMP_0067,GROUP_0064,mixto,holding / tesorería,1,holding / tesorería,0.829432,largo,Yield · barrido | FX Shield | Reserve · póliza,-0.0230002,0.0797432,0.0567429,2,cobros,0.338235,25,24,false,0.0155128,0,0,0,0,0,0,0,,,,,,,20.2081
COMP_0068,GROUP_0142,servicio,comercio minorista | hostelería,2,comercio minorista,0.574684,días,Reserve · póliza | Yield · barrido | FX Shield,0.135286,0.458485,0.59377,3,liquidación de efectivo + retirada de efectivo,0.0334074,2772,2702,true,0.0109465,0,0,0,0,0,0.103595,0.0885695,5,8.5,100,0.0271935,0,0,0.307769
COMP_0069,GROUP_0175,mixto,servicios profesionales,1,servicios profesionales,0.688303,6 meses,Yield · barrido | Factoring | Reserve · póliza,0.0493597,0.22147,0.27083,2,cobros,0.193499,2389,77,true,0.887219,0,0,0,0,0,0,0,10,0,440,0.00936193,0,0.0230689,3.39804
COMP_0070,GROUP_0230,mixto,comercio minorista,1,comercio minorista,0.525982,días,Yield · barrido | Reserve · póliza | FX Shield,0.0180696,0.330935,0.349004,3,liquidación de efectivo + retirada de efectivo,0.114788,3904,1997,true,0.755735,0,0,0,0,0,6.19003e-05,0.010617,61,46,282,0.533843,0,0,7181.97
COMP_0071,GROUP_0102,mixto,holding / tesorería | hostelería,2,holding / tesorería,0.628457,largo,Yield · barrido | Reserve · póliza | FX Shield,-0.0310814,0.324243,0.293162,2,cobros,0.0158479,217,172,true,0.013333,0,0,0,0,1,0.0882111,0.00641357,30,60,20,0.126576,0,0,1.46972
COMP_0072,GROUP_0003,insuficiente,,0,,,,,,,,,sin cobertura,,66,17,true,0.711984,0,0,0,0,0,0.00141409,0,,31,2,,0,0,0.828657
COMP_0073,GROUP_0101,servicio,transporte / logística,1,transporte / logística,0.78,días,Factoring | Reserve · póliza | Yield · barrido | Confirming,0.190919,0.252432,0.443351,2,cobros,0.108578,561,143,true,0.66778,0,0,0,0,0,0.00149177,0.0108138,12,27,11,0.69706,0,0.0385906,3.81729
COMP_0074,GROUP_0088,servicio,holding / tesorería,1,holding / tesorería,0.729071,largo,Yield · barrido | FX Shield | Reserve · póliza,0.114287,0.369519,0.483806,3,liquidación de efectivo + retirada de efectivo,0.0204153,7490,7289,true,0.0304108,0,0,0,0,1,0.0197474,0.000137734,4,13,64,0.056456,0,0,2.16079
COMP_0075,GROUP_0115,servicio,hostelería,1,hostelería,0.500994,6 meses,Reserve · póliza | FX Shield | Yield · barrido,0.151044,0.327258,0.478302,0,seguridad social + nóminas,0.037129,3443,3159,false,0.218685,0,0,0,0,1,0.129483,0.0389029,,,,,,,0.189376
COMP_0076,GROUP_0146,producto,comercio minorista,1,comercio minorista,0.714841,días,Reserve · póliza | FX Shield | Yield · barrido,-0.156869,0.181442,0.0245723,2,cobros,0.156149,119,119,false,0,0,0,0,0,1,0,0.00210844,,,,,,,-7.57912e-15
COMP_0077,GROUP_0213,mixto,holding / tesorería,1,holding / tesorería,0.719415,largo,Yield · barrido | FX Shield | Reserve · póliza,0.0409681,0.207069,0.248037,2,cobros,0.0247456,296,280,true,0.093798,0,0,0,0,0,0.0253701,1.48069e-05,24,71,12,0.162788,0,0,13.0558
COMP_0078,GROUP_0246,servicio,holding / tesorería,1,holding / tesorería,0.814151,largo,Reserve · póliza | FX Shield | Yield · barrido,0.102943,0.288033,0.390976,0,seguridad social + nóminas,0.0638311,312,271,true,0.0243332,0,0,0,0,1,0.0120009,0,14,32.5,55,0.370115,0,0,0.639643
COMP_0079,GROUP_0203,servicio,servicios profesionales,1,servicios profesionales,0.637347,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.341823,0.39932,0.741144,0,seguridad social + nóminas,0.0816733,2205,1787,true,0.106222,0,0,0,0,1,0.264925,0.00400115,0,0,61,0.280518,0,0.0023088,0.481527
COMP_0080,GROUP_0112,producto,construcción | mayorista / distribución,2,construcción,0.586216,6 meses,Reserve · póliza,-0.21891,0.255592,0.0366824,2,cobros,0.404608,83,71,false,4.21293e-06,0,0,0,0,0,0,0,,,,,,,
COMP_0081,GROUP_0217,servicio,alquiler / inmobiliario | holding / tesorería | servicios profesionales,3,alquiler / inmobiliario,0.78,largo,Yield · barrido | Reserve · póliza | Factoring | FX Shield,0.3848,0.355678,0.740478,0,seguridad social + nóminas,0.0832184,1315,1309,true,1.69961e-05,0,0,0,0,0,0.055095,0,31,30,17,0.984856,0,0.0941851,1.07
COMP_0082,GROUP_0172,servicio,holding / tesorería,1,holding / tesorería,0.605116,largo,Reserve · póliza | FX Shield | Yield · barrido,0.41631,0.292461,0.708771,3,liquidación de efectivo + retirada de efectivo,0.113852,7993,4603,false,0.329982,0,0,0,0,0,0.0201434,0.00173263,,,,,,,0.00100957
COMP_0083,GROUP_0133,servicio,holding / tesorería | comercio minorista,2,holding / tesorería,0.716418,largo,Reserve · póliza | Yield · barrido | FX Shield,0.17453,0.203171,0.377701,2,cobros,0.0953875,39,36,true,0.00131575,0,0,0,0,0,0,0.058349,,,0,,0,0.333333,0.0778709
COMP_0084,GROUP_0138,servicio,servicios profesionales,1,servicios profesionales,0.543172,6 meses,Reserve · póliza | Yield · barrido,0.406986,0.48198,0.888966,0,seguridad social + nóminas,0.165474,615,520,false,0.133284,0,0,0,0,0,0.220148,0.00235678,,,,,,,0.0818475
COMP_0085,GROUP_0155,servicio,alquiler / inmobiliario,1,alquiler / inmobiliario,0.78,largo,Reserve · póliza | Yield · barrido | Seguro de cobro,0.427463,0.211889,0.639353,3,liquidación de efectivo + retirada de efectivo,0.00345802,864,270,true,0.603673,0,0,0,0,0,0.00584936,0.00769796,12,27,13,0.219199,0,0.0717822,0.275427
COMP_0086,GROUP_0168,servicio,servicios profesionales | hostelería,2,servicios profesionales,0.543724,6 meses,Reserve · póliza | Yield · barrido | FX Shield,0.382111,0.246686,0.628797,0,seguridad social + nóminas,0.129739,657,366,false,0.293111,0,0,0,0,0,0.447701,0.00734331,,,,,,,-0.000175133
COMP_0087,GROUP_0065,producto,comercio minorista | construcción | holding / tesorería,3,comercio minorista,0.627434,días,Reserve · póliza | Yield · barrido | FX Shield,-0.192842,0.471002,0.27816,3,liquidación de efectivo + retirada de efectivo,0.0422928,3995,3161,false,0.175747,0,0,0,0,1,0.00456946,0.00279163,,,,,,,0.44744
COMP_0088,GROUP_0172,servicio,holding / tesorería,1,holding / tesorería,0.770609,largo,Reserve · póliza | FX Shield | Yield · barrido,0.349191,0.252486,0.601676,2,cobros,0.047669,1957,1706,false,0.00663489,0,0,0,0,0,0.00129513,0,,,,,,,0.00198558
COMP_0089,GROUP_0153,servicio,holding / tesorería | servicios profesionales,2,holding / tesorería,0.672873,largo,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.259859,0.263359,0.523218,0,seguridad social + nóminas,0.294117,944,815,true,0.0161845,0,0,0,0,0,0.36316,0,56,90,45,0.973395,0,0,0.199669
COMP_0090,GROUP_0116,mixto,,0,,,,,-0.000489717,0.156087,0.155598,2,cobros,0.32753,111,107,true,0.0170857,0,0,0,0,0,0,0,,14,0,,0,0,0.691102
COMP_0091,GROUP_0237,servicio,hostelería,1,hostelería,0.78,6 meses,Reserve · póliza | FX Shield | Yield · barrido,0.227514,0.294218,0.521732,2,cobros,0.132743,929,659,true,0.244615,0,0,0,0,1,0,2.40829e-05,32,30,52,0.0693875,0,0.002002,0.577726
